EXPOCODE 316N138_9  WHP-ID P16A/P17A  DATES 100692-112592              20020417WHPOSIOSA                *
  STNNBR  CASTNO  BTLNBR  REVPRS  REVTMP  SALNTY  NITRAT  NITRIT  SILCAT  PHSPHT  DELC14  C14ERR   QUALT1
			    DBAR  ITS-90  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG  /MILLE  /MILLE        *                     
                 *******                 ******* ******* ******* ******* ******* *******                *
      87       1      49  4894.0  1.3100 34.7130   -9.00   -9.00  118.40   -9.00  -999.0    -9.0  2255259
      87       1      93  4894.5  1.3100 34.7130   -9.00   -9.00  118.60   -9.00  -175.1     4.0  2255252
      95       3      41  1442.7  2.9200 34.4580   -9.00   -9.00   63.60   -9.00  -999.0    -9.0  2255259
      95       3      81  1443.2  2.9200 34.4590   -9.00   -9.00   63.60   -9.00  -999.0    -9.0  2255255
      95       3      42  1592.4  2.6400 34.5280   -9.00   -9.00   73.80   -9.00  -999.0    -9.0  2255259
      95       3      82  1592.9  2.6400 34.5280   -9.00   -9.00   73.80   -9.00  -147.4     4.0  2255252
      95       3      43  1742.1  2.4900 34.5820   -9.00   -9.00   82.70   -9.00  -999.0    -9.0  2255259
      95       3      83  1742.6  2.4900 34.5820   -9.00   -9.00   82.70   -9.00  -999.0    -9.0  2255255
      95       3      44  1891.7  2.3600 34.6170   -9.00   -9.00   90.50   -9.00  -999.0    -9.0  2255259
      95       3      84  1892.2  2.3600 34.6170   -9.00   -9.00   90.50   -9.00  -172.6     4.0  2255252
      95       3      45  2041.0  2.2400 34.6410   -9.00   -9.00   98.80   -9.00  -999.0    -9.0  2255259
      95       3      85  2041.5  2.2400 34.6410   -9.00   -9.00   98.80   -9.00  -999.0    -9.0  2255255
      95       3      46  2190.1  2.1400 34.6530   -9.00   -9.00  106.50   -9.00  -999.0    -9.0  2255259
      95       3      87  2190.6  2.1400 34.6530   -9.00   -9.00  106.40   -9.00  -196.8     4.0  2255252
      95       3      47  2339.0  2.0300 34.6600   -9.00   -9.00  112.70   -9.00  -999.0    -9.0  2255259
      95       3      89  2339.5  2.0300 34.6610   -9.00   -9.00  113.10   -9.00  -999.0    -9.0  2255255
      95       3      48  2487.5  1.9200 34.6660   -9.00   -9.00  118.90   -9.00  -999.0    -9.0  2255259
      95       3      90  2488.0  1.9200 34.6650   -9.00   -9.00  118.90   -9.00  -203.8     4.0  2255252
      95       1      41  2769.1  1.8200 34.6740   -9.00   -9.00  123.70   -9.00  -999.0    -9.0  2255259
      95       1      81  2769.6  1.8200 34.6740   -9.00   -9.00  123.70   -9.00  -209.9     4.0  2255252
      95       1      42  3022.1  1.7200 34.6810   -9.00   -9.00  124.50   -9.00  -999.0    -9.0  2255259
